record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D03-PUBMED-01-42654242,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",1,42654242,10.3390/nu18162661,"Clinician-Artificial Intelligence Collaboration for Mediterranean Meal-Plan Generation: Development, Technical Feasibility, and Professional Acceptability of the MAI-DIET Framework.",2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13516381/
D03-PUBMED-02-42626421,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",2,42626421,10.4103/jehp.jehp_906_25,Accreditation as a catalyst for improving child nutrition services in residential care: A case study.,2026,Journal of education and health promotion,https://pmc.ncbi.nlm.nih.gov/articles/PMC13492858/
D03-PUBMED-03-42613785,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",3,42613785,10.1002/ncp.70169,The role of artificial intelligence in developing meal plans in outpatient dietetics: A feasibility and proof of concept study.,2026,Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,https://doi.org/10.1002/ncp.70169
D03-PUBMED-04-42593868,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",4,42593868,10.34067/KID.0000001326,Navigating Renal Dietary Guidelines in ESKD and Obesity: A Qualitative Phenomenological Analysis of the Role of Social Support.,2026,Kidney360,https://doi.org/10.34067/KID.0000001326
D03-PUBMED-05-42588096,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",5,42588096,10.3390/nu18152473,Nutrition Behaviour During Pregnancy: Eating Twice as Healthy? A Secondary Analysis of the Nutrition Component of the NELIP Randomized Controlled Trial.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13468203/
D03-PUBMED-06-42582321,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",6,42582321,10.3389/fpubh.2026.1902901,Nutrition literacy and dietary self-management in breast and gynecologic cancer survivorship.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13457453/
D03-PUBMED-07-42577053,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",7,42577053,10.1016/j.cdnut.2026.109434,Building on Indigenous Knowledge for Strengthening Food Security and Nutrition: Evidence from a Community-based Intervention in Eastern India.,2026,Current developments in nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13453556/
D03-PUBMED-08-42566713,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",8,42566713,10.2196/81441,Bridging the Digital Divide in Diabetes Care With an AI-Powered Health Coaching Intervention: Qualitative Formative Study.,2026,JMIR diabetes,https://pmc.ncbi.nlm.nih.gov/articles/PMC13450810/
D03-PUBMED-09-42563987,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",9,42563987,10.3389/fnut.2026.1894893,An AI-driven multivariate approach for personalized healthy eating recommendations aligned with sustainable healthy diet food-group guidelines.,2026,Frontiers in nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13441720/
D03-PUBMED-10-42549059,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",10,42549059,10.1017/cts.2026.10787,Development and qualitative formative assessment of pictorial paper-based and digital carbohydrate-counting educational resources for diabetes management.,2026,Journal of clinical and translational science,https://pmc.ncbi.nlm.nih.gov/articles/PMC13430486/
