record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D02-PUBMED-01-42684842,D02,B-NORM,"normative guidance, guidelines, consensus and statements",1,42684842,10.1177/17455057261484759,Optimisation of maternal cardiometabolic outcomes after hypertensive disorders of pregnancy.,2026,"Women's health (London, England)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13538997/
D02-PUBMED-02-42676433,D02,B-NORM,"normative guidance, guidelines, consensus and statements",2,42676433,10.3389/fpubh.2026.1913303,Prevalence of metabolic syndrome among primary and secondary school teachers: a systematic review and meta-analysis.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13526942/
D02-PUBMED-03-42649102,D02,B-NORM,"normative guidance, guidelines, consensus and statements",3,42649102,10.1002/hpja.70232,Prevalence of Healthy Eating Initiatives in Australian Primary Schools: A Cross-Sectional Survey.,2026,Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals,https://pmc.ncbi.nlm.nih.gov/articles/PMC13518265/
D02-PUBMED-04-42626045,D02,B-NORM,"normative guidance, guidelines, consensus and statements",4,42626045,10.1177/20420188261465525,Global burden of gout attributable to high BMI (1990-2021) and causal link with obesity: a GBD and Mendelian randomization study.,2026,Therapeutic advances in endocrinology and metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC13491354/
D02-PUBMED-05-42578307,D02,B-NORM,"normative guidance, guidelines, consensus and statements",5,42578307,10.1111/petr.70409,"How Well Do ""Dr. Google"" and ""Professor YouTube"" Answer Health Questions for Pediatric Kidney Transplant Recipients and Caregivers?",2026,Pediatric transplantation,https://pmc.ncbi.nlm.nih.gov/articles/PMC13458959/
D02-PUBMED-06-42556571,D02,B-NORM,"normative guidance, guidelines, consensus and statements",6,42556571,10.1016/j.jcjd.2026.07.003,"Cultural Adaptation, Translation, and Psychometric Validation of the Chinese Diabetes Education Questionnaire (DATE-Q-Chinese).",2026,Canadian journal of diabetes,https://doi.org/10.1016/j.jcjd.2026.07.003
D02-PUBMED-07-42542717,D02,B-NORM,"normative guidance, guidelines, consensus and statements",7,42542717,10.47895/amp.v60i12.4588,The Use of Self-MNA (Mini Nutritional Assessment) for Nutritional Status Measurement of Elderly Females in a Community-based Health Care.,2026,Acta medica Philippina,https://pmc.ncbi.nlm.nih.gov/articles/PMC13427902/
D02-PUBMED-08-42520182,D02,B-NORM,"normative guidance, guidelines, consensus and statements",8,42520182,10.1111/mcn.70235,"""Taking the Snail for a Walk"": A Multi-Stakeholder Qualitative Study Exploring Chinese Parents' Feeding Experiences With Preschool Children.",2026,Maternal & child nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13412052/
D02-PUBMED-09-42494808,D02,B-NORM,"normative guidance, guidelines, consensus and statements",9,42494808,10.1080/21642850.2026.2685914,Promoting breastfeeding through digital communication: a longitudinal randomized controlled trial.,2026,Health psychology and behavioral medicine,https://pmc.ncbi.nlm.nih.gov/articles/PMC13393060/
D02-PUBMED-10-42472474,D02,B-NORM,"normative guidance, guidelines, consensus and statements",10,42472474,10.1080/01443615.2026.2703754,Weight-gain-for-gestational-age z-score in twin pregnancies in China and its association with preterm birth: a retrospective cohort study.,2026,Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,https://doi.org/10.1080/01443615.2026.2703754
D02-PUBMED-11-42462742,D02,B-NORM,"normative guidance, guidelines, consensus and statements",11,42462742,10.1016/S1470-2045(26)00348-7,New guidelines to advocate healthy eating and physical activity in school settings in the Americas.,2026,The Lancet. Oncology,https://doi.org/10.1016/S1470-2045(26)00348-7
D02-PUBMED-12-42371127,D02,B-NORM,"normative guidance, guidelines, consensus and statements",12,42371127,10.1007/s00394-026-04042-3,Promoting and sustaining fruit intake among children aged 3-11 years: a before-and-after evaluation of a school-based intervention.,2026,European journal of nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13314690/
D02-PUBMED-13-42139540,D02,B-NORM,"normative guidance, guidelines, consensus and statements",13,42139540,10.1177/10732748261452792,"Health Literacy, Socioeconomic Status, and Health Behavior Adherence Among Young Adult Survivors With Cancer: A Cross-Sectional Study.",2026,Cancer control : journal of the Moffitt Cancer Center,https://pmc.ncbi.nlm.nih.gov/articles/PMC13180213/
D02-PUBMED-14-42067194,D02,B-NORM,"normative guidance, guidelines, consensus and statements",14,42067194,10.1016/j.advnut.2026.100642,Effective Implementation Strategies for Delivering Nutritional Interventions through the Health System to Prevent Malnutrition during Pregnancy: A Systematic Review and Meta-analysis.,2026,"Advances in nutrition (Bethesda, Md.)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13223953/
D02-PUBMED-15-42021226,D02,B-NORM,"normative guidance, guidelines, consensus and statements",15,42021226,10.1186/s12889-026-27503-0,Food Improvement Goals in Schools (FIGS I): a qualitative evaluation of a whole-school approach to healthy food provision in primary schools.,2026,BMC public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13235117/
D02-PUBMED-16-41938972,D02,B-NORM,"normative guidance, guidelines, consensus and statements",16,41938972,10.3389/fpubh.2026.1695757,Conquering today's health paradox with the power of HEAL - an expert consensus report plus research priorities and policymaker roadmap.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13047960/
D02-PUBMED-17-41931216,D02,B-NORM,"normative guidance, guidelines, consensus and statements",17,41931216,10.1007/s40368-026-01202-1,"Current practice, barriers and facilitators to caries management in children: a qualitative study in the Netherlands.",2026,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC13461687/
D02-PUBMED-18-41925781,D02,B-NORM,"normative guidance, guidelines, consensus and statements",18,41925781,10.1007/s40519-026-01847-3,Cross-cultural adaptation and psychometric validation of the Turkish Düsseldorf Orthorexia Scale in adolescents.,2026,Eating and weight disorders : EWD,https://pmc.ncbi.nlm.nih.gov/articles/PMC13065574/
D02-PUBMED-19-41905661,D02,B-NORM,"normative guidance, guidelines, consensus and statements",19,41905661,10.1016/j.exger.2026.113114,Reference data and clustering of lifestyle-based dementia risk factor scales among older Canadian adults.,2026,Experimental gerontology,https://doi.org/10.1016/j.exger.2026.113114
D02-PUBMED-20-41898019,D02,B-NORM,"normative guidance, guidelines, consensus and statements",20,41898019,10.3390/bs16030357,"Psychological Competences Mediating the Adoption of Health Behaviors in Adults Through Internet, Social Media and Online Games: A Systematic Review.",2026,"Behavioral sciences (Basel, Switzerland)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13024407/
D02-PUBMED-21-41878781,D02,B-NORM,"normative guidance, guidelines, consensus and statements",21,41878781,10.1017/S1368980026102286,Economic evaluation of the 'Click & Crunch' online intervention to improve healthy food purchases from Australian primary school canteens: a cost and cost-effectiveness analysis.,2026,Public health nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13112308/
D02-PUBMED-22-41877451,D02,B-NORM,"normative guidance, guidelines, consensus and statements",22,41877451,10.1080/08964289.2026.2641440,"Game, Set, and Match: A Scoping Review of Matching Characteristics for Control and Intervention Groups in Adaptive Behavioral Interventions for Physical Activity or Healthy Eating Designs for Populations with Overweight and Obesity.",2026,"Behavioral medicine (Washington, D.C.)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13123276/
D02-PUBMED-23-41821192,D02,B-NORM,"normative guidance, guidelines, consensus and statements",23,41821192,10.1002/hpja.70170,Evidence Mapping: Healthy Eating and Physical Activity Practice Elements in Early Childhood Education and Care.,2026,Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals,https://pmc.ncbi.nlm.nih.gov/articles/PMC12982912/
D02-PUBMED-24-41818221,D02,B-NORM,"normative guidance, guidelines, consensus and statements",24,41818221,10.1371/journal.pone.0344864,Low self-esteem in adolescents with sickle cell disease: Determinants and coping mechanisms; A mixed methods study.,2026,PloS one,https://pmc.ncbi.nlm.nih.gov/articles/PMC12981461/
D02-PUBMED-25-41813050,D02,B-NORM,"normative guidance, guidelines, consensus and statements",25,41813050,10.1136/bmjopen-2025-109584,Promoting CHANGE cluster randomised controlled trial to improve food outlet healthiness in Australian sport and recreation facilities: protocol.,2026,BMJ open,https://pmc.ncbi.nlm.nih.gov/articles/PMC12983731/
