record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D04-PUBMED-01-42700832,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",1,42700832,10.1016/j.envpol.2026.129093,"A comparison of Per and Polyfluoroalkyl-alkyl substances in aquatic macroinvertebrates from urban and non-urban streams in Victoria, Australia.",2026,"Environmental pollution (Barking, Essex : 1987)",https://doi.org/10.1016/j.envpol.2026.129093
D04-PUBMED-02-42700321,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",2,42700321,10.1007/s11892-026-01643-4,The Hidden Everyday-Life Burden of Pediatric Type 1 Diabetes: A Household Implementation Framework for Modern Diabetes Technology and Family Care.,2026,Current diabetes reports,https://doi.org/10.1007/s11892-026-01643-4
D04-PUBMED-03-42687611,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",3,42687611,10.3967/bes2026.073,Report on Cardiovascular Health and Diseases in China 2025: An Updated Summary.,2026,Biomedical and environmental sciences : BES,https://doi.org/10.3967/bes2026.073
D04-PUBMED-04-42676994,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",4,42676994,10.3389/fpubh.2026.1912567,Community governance and nutrition-oriented cancer care for women: policy pathways to reduce survival disparities.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13527662/
D04-PUBMED-05-42660227,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",5,42660227,10.1016/j.kint.2026.07.027,Asia-Pacific Summit on Implementation of Clinical Practice Guidelines on Diabetes and Blood Pressure Management in Chronic Kidney Disease: A KDIGO Summit Report.,2026,Kidney international,https://doi.org/10.1016/j.kint.2026.07.027
D04-PUBMED-06-42656973,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",6,42656973,10.5114/biolsport.2026.161708,"Toward autonomous artificial intelligence agents in sports science: a modular framework for development, validation, and implementation.",2026,Biology of sport,https://pmc.ncbi.nlm.nih.gov/articles/PMC13507934/
D04-PUBMED-07-42650494,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",7,42650494,10.3390/foods15162799,Quality Assessment in Frozen Seafood: Advances in Sensing Technologies and Artificial Intelligence.,2026,"Foods (Basel, Switzerland)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13512416/
D04-PUBMED-08-42646324,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",8,42646324,10.3390/metabo16080588,Maternal Large Yellow Tea Supplementation Confers Intergenerational Protection Against BPA-Induced Metabolic and Behavioral Disorders in Mice.,2026,Metabolites,https://pmc.ncbi.nlm.nih.gov/articles/PMC13515447/
D04-PUBMED-09-42637260,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",9,42637260,10.1136/bmjopen-2026-123148,Equity-focused analysis of tailoring strategies for overcoming risk factors in ethnic minorities (EQUATOR): a protocol for a scoping review with a realist analysis.,2026,BMJ open,https://pmc.ncbi.nlm.nih.gov/articles/PMC13504506/
D04-PUBMED-10-42627376,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",10,42627376,10.1177/02601060261478507,Addressing malnutrition in acute care through an innovative model: PEAR (patients eating and recovering).,2026,Nutrition and health,https://doi.org/10.1177/02601060261478507
